,subjid,quest,product,rating,gender,age,role
43,8,1,car,3,female,50,Professor
44,8,1,savings account,4,female,50,Professor
45,8,1,present for a close relative,4,female,50,Professor
46,8,1,energy supplier,3,female,50,Professor
47,8,1,takeout lunch in a location you are unfamiliar with,3,female,50,Professor
48,9,1,holiday,4,male,35,Chief Data Officer
49,9,1,car,3,male,35,Chief Data Officer
50,9,1,savings account,4,male,35,Chief Data Officer
51,9,1,present for a close relative,4,male,35,Chief Data Officer
52,9,1,energy supplier,3,male,35,Chief Data Officer
53,9,1,takeout lunch in a location you are unfamiliar with,3,male,35,Chief Data Officer
54,10,1,holiday,4,male,35,Professor
55,10,1,car,3,male,35,Professor
56,10,1,savings account,4,male,35,Professor
57,10,1,present for a close relative,4,male,35,Professor
58,10,1,energy supplier,3,male,35,Professor
59,10,1,takeout lunch in a location you are unfamiliar with,3,male,35,Professor
60,11,1,holiday,4,male,40,Chief Data Officer
61,11,1,car,4,male,40,Chief Data Officer
62,11,1,savings account,4,male,40,Chief Data Officer
63,11,1,present for a close relative,4,male,40,Chief Data Officer
64,11,1,energy supplier,3,male,40,Chief Data Officer
65,11,1,takeout lunch in a location you are unfamiliar with,3,male,40,Chief Data Officer
66,12,1,holiday,4,male,40,Professor
67,12,1,car,3,male,40,Professor
68,12,1,savings account,4,male,40,Professor
69,12,1,present for a close relative,4,male,40,Professor
70,12,1,energy supplier,3,male,40,Professor
71,12,1,takeout lunch in a location you are unfamiliar with,3,male,40,Professor
72,13,1,holiday,4,male,45,Chief Data Officer
73,13,1,car,4,male,45,Chief Data Officer
74,13,1,savings account,4,male,45,Chief Data Officer
75,13,1,present for a close relative,4,male,45,Chief Data Officer
76,13,1,energy supplier,3,male,45,Chief Data Officer
77,13,1,takeout lunch in a location you are unfamiliar with,3,male,45,Chief Data Officer
78,14,1,holiday,4,male,45,Professor
79,14,1,car,3,male,45,Professor
80,14,1,savings account,4,male,45,Professor
81,14,1,present for a close relative,4,male,45,Professor
82,14,1,energy supplier,3,male,45,Professor
83,14,1,takeout lunch in a location you are unfamiliar with,3,male,45,Professor
84,15,1,holiday,4,male,50,Chief Data Officer
85,15,1,car,4,male,50,Chief Data Officer
86,15,1,savings account,4,male,50,Chief Data Officer
87,15,1,present for a close relative,4,male,50,Chief Data Officer
88,15,1,energy supplier,3,male,50,Chief Data Officer
89,15,1,takeout lunch in a location you are unfamiliar with,3,male,50,Chief Data Officer
90,16,1,holiday,4,male,50,Professor
91,16,1,car,3,male,50,Professor
92,16,1,savings account,4,male,50,Professor
93,16,1,present for a close relative,4,male,50,Professor
94,16,1,energy supplier,3,male,50,Professor
95,16,1,takeout lunch in a location you are unfamiliar with,3,male,50,Professor
96,1,1,bedroom furniture,4,female,35,Chief Data Officer
97,1,1,new smartphone,4,female,35,Chief Data Officer
98,1,1,clothes for everyday wear,4,female,35,Chief Data Officer
99,1,1,food and drink items for the main grocery shop,3,female,35,Chief Data Officer
100,1,1,wine,4,female,35,Chief Data Officer
101,1,1,music concert,4,female,35,Chief Data Officer
102,2,1,bedroom furniture,4,female,35,Professor
103,2,1,new smartphone,4,female,35,Professor
104,2,1,clothes for everyday wear,4,female,35,Professor
105,2,1,food and drink items for the main grocery shop,3,female,35,Professor
106,2,1,wine,4,female,35,Professor
107,2,1,music concert,4,female,35,Professor
108,3,1,bedroom furniture,4,female,40,Chief Data Officer
109,3,1,new smartphone,4,female,40,Chief Data Officer
110,3,1,clothes for everyday wear,4,female,40,Chief Data Officer
111,3,1,food and drink items for the main grocery shop,3,female,40,Chief Data Officer
112,3,1,wine,4,female,40,Chief Data Officer
113,3,1,music concert,4,female,40,Chief Data Officer
114,4,1,bedroom furniture,3,female,40,Professor
115,4,1,new smartphone,4,female,40,Professor
116,4,1,clothes for everyday wear,3,female,40,Professor
117,4,1,food and drink items for the main grocery shop,3,female,40,Professor
118,4,1,wine,4,female,40,Professor
119,4,1,music concert,4,female,40,Professor
120,5,1,bedroom furniture,4,female,45,Chief Data Officer
121,5,1,new smartphone,4,female,45,Chief Data Officer
122,5,1,clothes for everyday wear,4,female,45,Chief Data Officer
123,5,1,food and drink items for the main grocery shop,3,female,45,Chief Data Officer
124,5,1,wine,4,female,45,Chief Data Officer
125,5,1,music concert,4,female,45,Chief Data Officer
126,6,1,bedroom furniture,3,female,45,Professor
127,6,1,new smartphone,4,female,45,Professor
128,6,1,clothes for everyday wear,4,female,45,Professor
129,6,1,food and drink items for the main grocery shop,3,female,45,Professor
130,6,1,wine,4,female,45,Professor
131,6,1,music concert,4,female,45,Professor
132,7,1,bedroom furniture,4,female,50,Chief Data Officer
133,7,1,new smartphone,4,female,50,Chief Data Officer
134,7,1,clothes for everyday wear,4,female,50,Chief Data Officer
135,7,1,food and drink items for the main grocery shop,3,female,50,Chief Data Officer
136,7,1,wine,4,female,50,Chief Data Officer
137,7,1,music concert,4,female,50,Chief Data Officer
138,8,1,bedroom furniture,4,female,50,Professor
139,8,1,new smartphone,4,female,50,Professor
140,8,1,clothes for everyday wear,4,female,50,Professor
141,8,1,food and drink items for the main grocery shop,3,female,50,Professor
142,8,1,wine,4,female,50,Professor
143,8,1,music concert,4,female,50,Professor
144,9,1,bedroom furniture,3,male,35,Chief Data Officer
145,9,1,new smartphone,4,male,35,Chief Data Officer
146,9,1,clothes for everyday wear,3,male,35,Chief Data Officer
147,9,1,food and drink items for the main grocery shop,3,male,35,Chief Data Officer
148,9,1,wine,4,male,35,Chief Data Officer
149,9,1,music concert,4,male,35,Chief Data Officer
150,10,1,bedroom furniture,4,male,35,Professor
151,10,1,new smartphone,4,male,35,Professor
152,10,1,clothes for everyday wear,4,male,35,Professor
153,10,1,food and drink items for the main grocery shop,3,male,35,Professor
154,10,1,wine,4,male,35,Professor
155,10,1,music concert,4,male,35,Professor
156,11,1,bedroom furniture,3,male,40,Chief Data Officer
157,11,1,new smartphone,4,male,40,Chief Data Officer
158,11,1,clothes for everyday wear,3,male,40,Chief Data Officer
159,11,1,food and drink items for the main grocery shop,3,male,40,Chief Data Officer
160,11,1,wine,4,male,40,Chief Data Officer
161,11,1,music concert,4,male,40,Chief Data Officer
162,12,1,bedroom furniture,4,male,40,Professor
163,12,1,new smartphone,4,male,40,Professor
164,12,1,clothes for everyday wear,4,male,40,Professor
165,12,1,food and drink items for the main grocery shop,3,male,40,Professor
166,12,1,wine,4,male,40,Professor
167,12,1,music concert,4,male,40,Professor
168,13,1,bedroom furniture,4,male,45,Chief Data Officer
169,13,1,new smartphone,4,male,45,Chief Data Officer
170,13,1,clothes for everyday wear,4,male,45,Chief Data Officer
171,13,1,food and drink items for the main grocery shop,3,male,45,Chief Data Officer
172,13,1,wine,4,male,45,Chief Data Officer
173,13,1,music concert,4,male,45,Chief Data Officer
174,14,1,bedroom furniture,4,male,45,Professor
175,14,1,new smartphone,4,male,45,Professor
176,14,1,clothes for everyday wear,3,male,45,Professor
177,14,1,food and drink items for the main grocery shop,3,male,45,Professor
178,14,1,wine,4,male,45,Professor
179,14,1,music concert,4,male,45,Professor
180,15,1,bedroom furniture,4,male,50,Chief Data Officer
181,15,1,new smartphone,4,male,50,Chief Data Officer
182,15,1,clothes for everyday wear,3,male,50,Chief Data Officer
183,15,1,food and drink items for the main grocery shop,3,male,50,Chief Data Officer
184,15,1,wine,4,male,50,Chief Data Officer
185,15,1,music concert,4,male,50,Chief Data Officer
186,16,1,bedroom furniture,3,male,50,Professor
187,16,1,new smartphone,4,male,50,Professor
188,16,1,clothes for everyday wear,4,male,50,Professor
189,16,1,food and drink items for the main grocery shop,3,male,50,Professor
190,16,1,wine,4,male,50,Professor
191,16,1,music concert,4,male,50,Professor
192,1,1,home security system,3,female,35,Chief Data Officer
193,1,1,toothpaste,4,female,35,Chief Data Officer
194,1,1,spa,4,female,35,Chief Data Officer
195,1,1,video game console,3,female,35,Chief Data Officer
196,1,1,clothes for a friend's wedding,4,female,35,Chief Data Officer
197,1,1,running shoes,4,female,35,Chief Data Officer
198,1,1,coffee machine,4,female,35,Chief Data Officer
199,1,1,jewellery,3,female,35,Chief Data Officer
200,2,1,home security system,3,female,35,Professor
201,2,1,toothpaste,4,female,35,Professor
202,2,1,spa,4,female,35,Professor
203,2,1,video game console,4,female,35,Professor
204,2,1,clothes for a friend's wedding,3,female,35,Professor
205,2,1,running shoes,4,female,35,Professor
206,2,1,coffee machine,4,female,35,Professor
207,2,1,jewellery,4,female,35,Professor
208,3,1,home security system,3,female,40,Chief Data Officer
209,3,1,toothpaste,4,female,40,Chief Data Officer
210,3,1,spa,4,female,40,Chief Data Officer
211,3,1,video game console,4,female,40,Chief Data Officer
212,3,1,clothes for a friend's wedding,3,female,40,Chief Data Officer
213,3,1,running shoes,4,female,40,Chief Data Officer
214,3,1,coffee machine,4,female,40,Chief Data Officer
215,3,1,jewellery,3,female,40,Chief Data Officer
216,4,1,home security system,3,female,40,Professor
217,4,1,toothpaste,4,female,40,Professor
218,4,1,spa,4,female,40,Professor
219,4,1,video game console,3,female,40,Professor
220,4,1,clothes for a friend's wedding,3,female,40,Professor
221,4,1,running shoes,4,female,40,Professor
222,4,1,coffee machine,4,female,40,Professor
223,4,1,jewellery,4,female,40,Professor
224,5,1,home security system,3,female,45,Chief Data Officer
225,5,1,toothpaste,4,female,45,Chief Data Officer
226,5,1,spa,4,female,45,Chief Data Officer
227,5,1,video game console,4,female,45,Chief Data Officer
228,5,1,clothes for a friend's wedding,3,female,45,Chief Data Officer
229,5,1,running shoes,4,female,45,Chief Data Officer
230,5,1,coffee machine,4,female,45,Chief Data Officer
231,5,1,jewellery,3,female,45,Chief Data Officer
232,6,1,home security system,3,female,45,Professor
233,6,1,toothpaste,4,female,45,Professor
234,6,1,spa,4,female,45,Professor
235,6,1,video game console,4,female,45,Professor
236,6,1,clothes for a friend's wedding,4,female,45,Professor
237,6,1,running shoes,4,female,45,Professor
238,6,1,coffee machine,4,female,45,Professor
239,6,1,jewellery,4,female,45,Professor
240,7,1,home security system,3,female,50,Chief Data Officer
241,7,1,toothpaste,4,female,50,Chief Data Officer
242,7,1,spa,4,female,50,Chief Data Officer
243,7,1,video game console,3,female,50,Chief Data Officer
244,7,1,clothes for a friend's wedding,3,female,50,Chief Data Officer
245,7,1,running shoes,4,female,50,Chief Data Officer
246,7,1,coffee machine,4,female,50,Chief Data Officer
247,7,1,jewellery,3,female,50,Chief Data Officer
248,8,1,home security system,3,female,50,Professor
249,8,1,toothpaste,4,female,50,Professor
250,8,1,spa,4,female,50,Professor
251,8,1,video game console,4,female,50,Professor
252,8,1,clothes for a friend's wedding,4,female,50,Professor
253,8,1,running shoes,4,female,50,Professor
254,8,1,coffee machine,4,female,50,Professor
255,8,1,jewellery,4,female,50,Professor
256,9,1,home security system,3,male,35,Chief Data Officer
257,9,1,toothpaste,4,male,35,Chief Data Officer
258,9,1,spa,4,male,35,Chief Data Officer
259,9,1,video game console,4,male,35,Chief Data Officer
260,9,1,clothes for a friend's wedding,3,male,35,Chief Data Officer
261,9,1,running shoes,4,male,35,Chief Data Officer
262,9,1,coffee machine,4,male,35,Chief Data Officer
263,9,1,jewellery,3,male,35,Chief Data Officer
264,10,1,home security system,3,male,35,Professor
265,10,1,toothpaste,4,male,35,Professor
266,10,1,spa,4,male,35,Professor
267,10,1,video game console,4,male,35,Professor
268,10,1,clothes for a friend's wedding,3,male,35,Professor
269,10,1,running shoes,4,male,35,Professor
270,10,1,coffee machine,4,male,35,Professor
271,10,1,jewellery,4,male,35,Professor
272,11,1,home security system,3,male,40,Chief Data Officer
273,11,1,toothpaste,4,male,40,Chief Data Officer
274,11,1,spa,4,male,40,Chief Data Officer
275,11,1,video game console,4,male,40,Chief Data Officer
276,11,1,clothes for a friend's wedding,3,male,40,Chief Data Officer
277,11,1,running shoes,4,male,40,Chief Data Officer
278,11,1,coffee machine,4,male,40,Chief Data Officer
279,11,1,jewellery,3,male,40,Chief Data Officer
280,12,1,home security system,3,male,40,Professor
281,12,1,toothpaste,4,male,40,Professor
282,12,1,spa,4,male,40,Professor
283,12,1,video game console,4,male,40,Professor
284,12,1,clothes for a friend's wedding,3,male,40,Professor
285,12,1,running shoes,4,male,40,Professor
286,12,1,coffee machine,4,male,40,Professor
287,12,1,jewellery,4,male,40,Professor
288,13,1,home security system,3,male,45,Chief Data Officer
289,13,1,toothpaste,5,male,45,Chief Data Officer
290,13,1,spa,4,male,45,Chief Data Officer
291,13,1,video game console,4,male,45,Chief Data Officer
292,13,1,clothes for a friend's wedding,3,male,45,Chief Data Officer
293,13,1,running shoes,4,male,45,Chief Data Officer
294,13,1,coffee machine,4,male,45,Chief Data Officer
295,13,1,jewellery,3,male,45,Chief Data Officer
296,14,1,home security system,3,male,45,Professor
297,14,1,toothpaste,4,male,45,Professor
298,14,1,spa,4,male,45,Professor
299,14,1,video game console,4,male,45,Professor
300,14,1,clothes for a friend's wedding,3,male,45,Professor
301,14,1,running shoes,4,male,45,Professor
302,14,1,coffee machine,4,male,45,Professor
303,14,1,jewellery,4,male,45,Professor
304,15,1,home security system,3,male,50,Chief Data Officer
305,15,1,toothpaste,4,male,50,Chief Data Officer
306,15,1,spa,4,male,50,Chief Data Officer
307,15,1,video game console,4,male,50,Chief Data Officer
308,15,1,clothes for a friend's wedding,4,male,50,Chief Data Officer
309,15,1,running shoes,4,male,50,Chief Data Officer
310,15,1,coffee machine,4,male,50,Chief Data Officer
311,15,1,jewellery,3,male,50,Chief Data Officer
312,16,1,home security system,3,male,50,Professor
313,16,1,toothpaste,4,male,50,Professor
314,16,1,spa,4,male,50,Professor
315,16,1,video game console,4,male,50,Professor
316,16,1,clothes for a friend's wedding,4,male,50,Professor
317,16,1,running shoes,4,male,50,Professor
318,16,1,coffee machine,4,male,50,Professor
319,16,1,jewellery,4,male,50,Professor
320,1,2,holiday,4,female,35,Chief Data Officer
321,1,2,car,3,female,35,Chief Data Officer
322,1,2,savings account,3,female,35,Chief Data Officer
323,1,2,present for a close relative,4,female,35,Chief Data Officer
324,1,2,energy supplier,3,female,35,Chief Data Officer
325,1,2,takeout lunch in a location you are unfamiliar with,4,female,35,Chief Data Officer
326,1,2,bedroom furniture,3,female,35,Chief Data Officer
327,1,2,new smartphone,4,female,35,Chief Data Officer
328,1,2,clothes for everyday wear,4,female,35,Chief Data Officer
329,2,2,holiday,4,female,35,Professor
330,2,2,car,3,female,35,Professor
331,2,2,savings account,3,female,35,Professor
332,2,2,present for a close relative,3,female,35,Professor
333,2,2,energy supplier,3,female,35,Professor
334,2,2,takeout lunch in a location you are unfamiliar with,3,female,35,Professor
335,2,2,bedroom furniture,3,female,35,Professor
336,2,2,new smartphone,4,female,35,Professor
337,2,2,clothes for everyday wear,3,female,35,Professor
338,3,2,holiday,4,female,40,Chief Data Officer
339,3,2,car,4,female,40,Chief Data Officer
340,3,2,savings account,4,female,40,Chief Data Officer
341,3,2,present for a close relative,4,female,40,Chief Data Officer
342,3,2,energy supplier,3,female,40,Chief Data Officer
343,3,2,takeout lunch in a location you are unfamiliar with,4,female,40,Chief Data Officer
344,3,2,bedroom furniture,4,female,40,Chief Data Officer
345,3,2,new smartphone,4,female,40,Chief Data Officer
346,3,2,clothes for everyday wear,4,female,40,Chief Data Officer
347,4,2,holiday,4,female,40,Professor
348,4,2,car,4,female,40,Professor
349,4,2,savings account,3,female,40,Professor
350,4,2,present for a close relative,4,female,40,Professor
351,4,2,energy supplier,3,female,40,Professor
352,4,2,takeout lunch in a location you are unfamiliar with,3,female,40,Professor
353,4,2,bedroom furniture,3,female,40,Professor
354,4,2,new smartphone,4,female,40,Professor
355,4,2,clothes for everyday wear,3,female,40,Professor
356,5,2,holiday,4,female,45,Chief Data Officer
357,5,2,car,4,female,45,Chief Data Officer
358,5,2,savings account,3,female,45,Chief Data Officer
359,5,2,present for a close relative,4,female,45,Chief Data Officer
360,5,2,energy supplier,3,female,45,Chief Data Officer
361,5,2,takeout lunch in a location you are unfamiliar with,3,female,45,Chief Data Officer
362,5,2,bedroom furniture,4,female,45,Chief Data Officer
363,5,2,new smartphone,4,female,45,Chief Data Officer
364,5,2,clothes for everyday wear,4,female,45,Chief Data Officer
365,6,2,holiday,4,female,45,Professor
366,6,2,car,3,female,45,Professor
367,6,2,savings account,3,female,45,Professor
368,6,2,present for a close relative,4,female,45,Professor
369,6,2,energy supplier,3,female,45,Professor
370,6,2,takeout lunch in a location you are unfamiliar with,4,female,45,Professor
371,6,2,bedroom furniture,3,female,45,Professor
372,6,2,new smartphone,4,female,45,Professor
373,6,2,clothes for everyday wear,4,female,45,Professor
374,7,2,holiday,4,female,50,Chief Data Officer
375,7,2,car,3,female,50,Chief Data Officer
376,7,2,savings account,4,female,50,Chief Data Officer
377,7,2,present for a close relative,4,female,50,Chief Data Officer
378,7,2,energy supplier,3,female,50,Chief Data Officer
379,7,2,takeout lunch in a location you are unfamiliar with,4,female,50,Chief Data Officer
380,7,2,bedroom furniture,4,female,50,Chief Data Officer
381,7,2,new smartphone,4,female,50,Chief Data Officer
382,7,2,clothes for everyday wear,4,female,50,Chief Data Officer
383,8,2,holiday,4,female,50,Professor
384,8,2,car,4,female,50,Professor
385,8,2,savings account,3,female,50,Professor
386,8,2,present for a close relative,4,female,50,Professor
387,8,2,energy supplier,3,female,50,Professor
388,8,2,takeout lunch in a location you are unfamiliar with,4,female,50,Professor
389,8,2,bedroom furniture,3,female,50,Professor
390,8,2,new smartphone,4,female,50,Professor
391,8,2,clothes for everyday wear,4,female,50,Professor
392,9,2,holiday,4,male,35,Chief Data Officer
393,9,2,car,4,male,35,Chief Data Officer
394,9,2,savings account,4,male,35,Chief Data Officer
395,9,2,present for a close relative,4,male,35,Chief Data Officer
396,9,2,energy supplier,3,male,35,Chief Data Officer
397,9,2,takeout lunch in a location you are unfamiliar with,4,male,35,Chief Data Officer
398,9,2,bedroom furniture,4,male,35,Chief Data Officer
399,9,2,new smartphone,4,male,35,Chief Data Officer
400,9,2,clothes for everyday wear,4,male,35,Chief Data Officer
401,10,2,holiday,4,male,35,Professor
402,10,2,car,4,male,35,Professor
403,10,2,savings account,3,male,35,Professor
404,10,2,present for a close relative,4,male,35,Professor
405,10,2,energy supplier,3,male,35,Professor
406,10,2,takeout lunch in a location you are unfamiliar with,3,male,35,Professor
407,10,2,bedroom furniture,3,male,35,Professor
408,10,2,new smartphone,4,male,35,Professor
409,10,2,clothes for everyday wear,4,male,35,Professor
410,11,2,holiday,4,male,40,Chief Data Officer
411,11,2,car,4,male,40,Chief Data Officer
412,11,2,savings account,4,male,40,Chief Data Officer
413,11,2,present for a close relative,4,male,40,Chief Data Officer
414,11,2,energy supplier,3,male,40,Chief Data Officer
415,11,2,takeout lunch in a location you are unfamiliar with,4,male,40,Chief Data Officer
416,11,2,bedroom furniture,3,male,40,Chief Data Officer
417,11,2,new smartphone,4,male,40,Chief Data Officer
418,11,2,clothes for everyday wear,4,male,40,Chief Data Officer
419,12,2,holiday,4,male,40,Professor
420,12,2,car,3,male,40,Professor
421,12,2,savings account,3,male,40,Professor
422,12,2,present for a close relative,4,male,40,Professor
423,12,2,energy supplier,3,male,40,Professor
424,12,2,takeout lunch in a location you are unfamiliar with,4,male,40,Professor
425,12,2,bedroom furniture,4,male,40,Professor
426,12,2,new smartphone,4,male,40,Professor
427,12,2,clothes for everyday wear,4,male,40,Professor
428,13,2,holiday,4,male,45,Chief Data Officer
429,13,2,car,4,male,45,Chief Data Officer
430,13,2,savings account,3,male,45,Chief Data Officer
431,13,2,present for a close relative,4,male,45,Chief Data Officer
432,13,2,energy supplier,3,male,45,Chief Data Officer
433,13,2,takeout lunch in a location you are unfamiliar with,4,male,45,Chief Data Officer
434,13,2,bedroom furniture,3,male,45,Chief Data Officer
435,13,2,new smartphone,4,male,45,Chief Data Officer
436,13,2,clothes for everyday wear,4,male,45,Chief Data Officer
437,14,2,holiday,4,male,45,Professor
438,14,2,car,4,male,45,Professor
439,14,2,savings account,3,male,45,Professor
440,14,2,present for a close relative,4,male,45,Professor
441,14,2,energy supplier,3,male,45,Professor
442,14,2,takeout lunch in a location you are unfamiliar with,3,male,45,Professor
443,14,2,bedroom furniture,3,male,45,Professor
444,14,2,new smartphone,4,male,45,Professor
445,14,2,clothes for everyday wear,4,male,45,Professor
446,15,2,holiday,4,male,50,Chief Data Officer
447,15,2,car,4,male,50,Chief Data Officer
448,15,2,savings account,4,male,50,Chief Data Officer
449,15,2,present for a close relative,4,male,50,Chief Data Officer
450,15,2,energy supplier,3,male,50,Chief Data Officer
451,15,2,takeout lunch in a location you are unfamiliar with,3,male,50,Chief Data Officer
452,15,2,bedroom furniture,3,male,50,Chief Data Officer
453,15,2,new smartphone,3,male,50,Chief Data Officer
454,15,2,clothes for everyday wear,4,male,50,Chief Data Officer
455,16,2,holiday,4,male,50,Professor
456,16,2,car,4,male,50,Professor
457,16,2,savings account,3,male,50,Professor
458,16,2,present for a close relative,4,male,50,Professor
459,16,2,energy supplier,3,male,50,Professor
460,16,2,takeout lunch in a location you are unfamiliar with,4,male,50,Professor
461,16,2,bedroom furniture,3,male,50,Professor
462,16,2,new smartphone,4,male,50,Professor
463,16,2,clothes for everyday wear,4,male,50,Professor
464,1,2,food and drink items for the main grocery shop,4,female,35,Chief Data Officer
465,1,2,wine,4,female,35,Chief Data Officer
466,1,2,music concert,4,female,35,Chief Data Officer
467,1,2,home security system,3,female,35,Chief Data Officer
468,1,2,toothpaste,3,female,35,Chief Data Officer
469,1,2,spa,4,female,35,Chief Data Officer
470,1,2,video game console,4,female,35,Chief Data Officer
471,1,2,clothes for a friend's wedding,4,female,35,Chief Data Officer
472,2,2,food and drink items for the main grocery shop,3,female,35,Professor
473,2,2,wine,4,female,35,Professor
474,2,2,music concert,4,female,35,Professor
475,2,2,home security system,3,female,35,Professor
476,2,2,toothpaste,3,female,35,Professor
477,2,2,spa,4,female,35,Professor
478,2,2,video game console,4,female,35,Professor
479,2,2,clothes for a friend's wedding,3,female,35,Professor
480,3,2,food and drink items for the main grocery shop,4,female,40,Chief Data Officer
481,3,2,wine,4,female,40,Chief Data Officer
482,3,2,music concert,4,female,40,Chief Data Officer
483,3,2,home security system,3,female,40,Chief Data Officer
484,3,2,toothpaste,3,female,40,Chief Data Officer
485,3,2,spa,4,female,40,Chief Data Officer
486,3,2,video game console,4,female,40,Chief Data Officer
487,3,2,clothes for a friend's wedding,4,female,40,Chief Data Officer
488,4,2,food and drink items for the main grocery shop,3,female,40,Professor
489,4,2,wine,4,female,40,Professor
490,4,2,music concert,4,female,40,Professor
491,4,2,home security system,3,female,40,Professor
492,4,2,toothpaste,3,female,40,Professor
493,4,2,spa,4,female,40,Professor
494,4,2,video game console,4,female,40,Professor
495,4,2,clothes for a friend's wedding,3,female,40,Professor
496,5,2,food and drink items for the main grocery shop,4,female,45,Chief Data Officer
497,5,2,wine,4,female,45,Chief Data Officer
498,5,2,music concert,4,female,45,Chief Data Officer
499,5,2,home security system,3,female,45,Chief Data Officer
500,5,2,toothpaste,3,female,45,Chief Data Officer
501,5,2,spa,4,female,45,Chief Data Officer
502,5,2,video game console,3,female,45,Chief Data Officer
503,5,2,clothes for a friend's wedding,3,female,45,Chief Data Officer
504,6,2,food and drink items for the main grocery shop,3,female,45,Professor
505,6,2,wine,3,female,45,Professor
506,6,2,music concert,4,female,45,Professor
507,6,2,home security system,3,female,45,Professor
508,6,2,toothpaste,3,female,45,Professor
509,6,2,spa,4,female,45,Professor
510,6,2,video game console,3,female,45,Professor
511,6,2,clothes for a friend's wedding,4,female,45,Professor
512,7,2,food and drink items for the main grocery shop,4,female,50,Chief Data Officer
513,7,2,wine,4,female,50,Chief Data Officer
514,7,2,music concert,4,female,50,Chief Data Officer
515,7,2,home security system,4,female,50,Chief Data Officer
516,7,2,toothpaste,3,female,50,Chief Data Officer
517,7,2,spa,4,female,50,Chief Data Officer
518,7,2,video game console,4,female,50,Chief Data Officer
519,7,2,clothes for a friend's wedding,4,female,50,Chief Data Officer
520,8,2,food and drink items for the main grocery shop,3,female,50,Professor
521,8,2,wine,3,female,50,Professor
522,8,2,music concert,4,female,50,Professor
523,8,2,home security system,3,female,50,Professor
524,8,2,toothpaste,3,female,50,Professor
525,8,2,spa,4,female,50,Professor
526,8,2,video game console,3,female,50,Professor
527,8,2,clothes for a friend's wedding,4,female,50,Professor
528,9,2,food and drink items for the main grocery shop,4,male,35,Chief Data Officer
529,9,2,wine,4,male,35,Chief Data Officer
530,9,2,music concert,4,male,35,Chief Data Officer
531,9,2,home security system,4,male,35,Chief Data Officer
532,9,2,toothpaste,3,male,35,Chief Data Officer
533,9,2,spa,4,male,35,Chief Data Officer
534,9,2,video game console,4,male,35,Chief Data Officer
535,9,2,clothes for a friend's wedding,4,male,35,Chief Data Officer
536,10,2,food and drink items for the main grocery shop,4,male,35,Professor
537,10,2,wine,4,male,35,Professor
538,10,2,music concert,4,male,35,Professor
539,10,2,home security system,3,male,35,Professor
540,10,2,toothpaste,3,male,35,Professor
541,10,2,spa,4,male,35,Professor
542,10,2,video game console,4,male,35,Professor
543,10,2,clothes for a friend's wedding,4,male,35,Professor
544,11,2,food and drink items for the main grocery shop,4,male,40,Chief Data Officer
545,11,2,wine,4,male,40,Chief Data Officer
546,11,2,music concert,4,male,40,Chief Data Officer
547,11,2,home security system,4,male,40,Chief Data Officer
548,11,2,toothpaste,3,male,40,Chief Data Officer
549,11,2,spa,2,male,40,Chief Data Officer
550,11,2,video game console,4,male,40,Chief Data Officer
551,11,2,clothes for a friend's wedding,4,male,40,Chief Data Officer
